env,pedigree,female,male,ra,ro,rep,test,dy,ph,gy,gy_t_ha
19CS,AN290/R05386,AN290,R05386,15,238,2,SCHT,77,121.92,5543.260855,5.543260855
19CS,ATx3408/R12145,ATx3408,R12145,11,296,1,SCHV,88,137.16,5683.356533,5.683356533
19CS,ATx3408/RTx2935,ATx3408,RTx2935,11,248,1,SCHT,84,139.7,5685.127698,5.685127698
19CS,A06036/R12156,A06036,R12156,13,258,2,SCHT,77,119.38,5685.864341,5.685864341
19CS,AN290/RTx2917,AN290,RTx2917,13,306,2,SCHV,80,116.84,5686.545051,5.686545051
19CS,AKS119/R01302,AKS119,R01302,8,315,1,SCHV,75,149.86,5691.836915,5.691836915
19CS,AKS119/R05386,AKS119,R05386,8,267,1,SCHT,80,129.54,5693.015243,5.693015243
19CS,ATx2923/RTx2917,ATx2923,RTx2917,10,291,1,SCHV,81,127,5715.329656,5.715329656
19CS,ATx2923/RTx2936,ATx2923,RTx2936,10,243,1,SCHT,80,152.4,5716.477942,5.716477942
19CS,A05210/R05405,A05210,R05405,15,248,2,SCHT,78,177.8,5720.39958,5.72039958
19CS,A01362/R07178,A01362,R07178,15,296,2,SCHV,82,127,5721.23709,5.72123709
19CS,ATx2926/RTx2917,ATx2926,RTx2917,10,315,1,SCHV,81,132.08,5729.656453,5.729656453
19CS,ATx2926/RTx2919,ATx2926,RTx2919,10,267,1,SCHT,78,137.16,5730.014238,5.730014238
19CS,A03055/R12148,A03055,R12148,3,290,1,SCHV,81,127,5748.007484,5.748007484
19CS,A03055/R05330,A03055,R05330,3,242,1,SCHT,80,160.02,5749.313849,5.749313849
19CS,ATx644/RTx2935,ATx644,RTx2935,11,244,1,SCHT,83,132.08,5756.663217,5.756663217
19CS,ATx644/R08224,ATx644,R08224,11,292,1,SCHV,86,167.64,5759.065003,5.759065003
19CS,AKS117/RTx2942,AKS117,RTx2942,19,312,2,SCHV,83,132.08,5789.458224,5.789458224
19CS,ATx2926/R08304,ATx2926,R08304,19,264,2,SCHT,78,162.56,5791.088317,5.791088317
19CS,AN263/R08224,AN263,R08224,12,291,2,SCHV,90,142.24,5806.238326,5.806238326
19CS,ATx2930/R03248,ATx2930,R03248,16,311,2,SCHV,79,129.54,5807.214623,5.807214623
19CS,A03054/R12156,A03054,R12156,12,243,2,SCHT,83,111.76,5808.801441,5.808801441
19CS,A01362/R05512,A01362,R05512,16,263,2,SCHT,82,137.16,5808.845272,5.808845272
19CS,A03055/RTx2942,A03055,RTx2942,19,238,2,SCHT,81,132.08,5849.255658,5.849255658
19CS,A03093/RTx2917,A03093,RTx2917,19,286,2,SCHV,83,119.38,5850.556939,5.850556939
19CS,AKS120/RTx2918,AKS120,RTx2918,12,321,2,SCHV,79,137.16,5871.398364,5.871398364
19CS,ATx2924/RTx2936,ATx2924,RTx2936,12,273,2,SCHT,80,165.1,5872.583984,5.872583984
19CS,A03089/R05393,A03089,R05393,4,241,1,SCHT,81,152.4,5932.568984,5.932568984
19CS,A03089/RTx2914,A03089,RTx2914,4,289,1,SCHV,82,147.32,5933.614555,5.933614555
19CS,ATx2931/RTx2940,ATx2931,RTx2940,14,273,2,SCHT,74,157.48,5949.57787,5.94957787
19CS,A03121/R02107,A03121,R02107,14,321,2,SCHV,75,139.7,5950.041108,5.950041108
19CS,A07124/RTx2919,A07124,RTx2919,6,305,1,SCHV,82,147.32,5971.575872,5.971575872
19CS,A03040/RTx2940,A03040,RTx2940,3,318,1,SCHV,79,124.46,5975.898617,5.975898617
19CS,A03040/R12154,A03040,R12154,3,270,1,SCHT,76,139.7,5976.309332,5.976309332
19CS,A11076/RTx2940,A11076,RTx2940,18,267,2,SCHT,74,139.7,5983.522186,5.983522186
19CS,ATx644/R08224,ATx644,R08224,18,315,2,SCHV,85,177.8,5984.085273,5.984085273
19CS,A03093/RTx2940,A03093,RTx2940,16,323,2,SCHV,72,129.54,6026.206619,6.026206619
19CS,AKS120/R04060,AKS120,R04060,16,275,2,SCHT,76,152.4,6027.807411,6.027807411
19CS,A05210/R03248,A05210,R03248,16,243,2,SCHT,81,152.4,6033.749159,6.033749159
19CS,ATx2926/RTx2917,ATx2926,RTx2917,16,291,2,SCHV,81,144.78,6033.854278,6.033854278
19CS,AKS120/R04060,AKS120,R04060,8,275,1,SCHT,81,144.78,6039.446676,6.039446676
19CS,A03032/R08297,A03032,R08297,16,307,2,SCHV,79,116.84,6074.336498,6.074336498
19CS,A05269/R11208,A05269,R11208,16,259,2,SCHT,84,127,6076.066033,6.076066033
19CS,A03121/R07178,A03121,R07178,4,261,1,SCHT,80,139.7,6079.24763,6.07924763
19CS,AKS116/RTx2917,AKS116,RTx2917,18,323,2,SCHV,77,127,6081.037173,6.081037173
19CS,A03121/R12157,A03121,R12157,4,309,1,SCHV,82,129.54,6081.659323,6.081659323
19CS,A03121/RTx2935,A03121,RTx2935,18,275,2,SCHT,78,129.54,6082.11756,6.08211756
19CS,A03089/R08224,A03089,R08224,4,287,1,SCHV,90,182.88,6115.126204,6.115126204
19CS,A03055/RTx2944,A03055,RTx2944,4,239,1,SCHT,75,144.78,6116.378449,6.116378449
19CS,ATx3408/R05330,ATx3408,R05330,11,250,1,SCHT,82,160.02,6119.914294,6.119914294
19CS,A03121/R08303,A03121,R08303,4,263,1,SCHT,81,111.76,6124.9944,6.1249944
19CS,A03121/RTx2919,A03121,RTx2919,4,311,1,SCHV,82,132.08,6125.993489,6.125993489
19CS,ATx2924/R05512,ATx2924,R05512,10,247,1,SCHT,81,147.32,6132.711333,6.132711333
19CS,ATx2924/R05393,ATx2924,R05393,10,295,1,SCHV,82,142.24,6133.025578,6.133025578
19CS,A08158/R12154,A08158,R12154,7,308,1,SCHV,84,149.86,6161.323231,6.161323231
19CS,A11085/RTx2942,A11085,RTx2942,8,241,1,SCHT,78,132.08,6174.5954,6.1745954
19CS,A11085/R12148,A11085,R12148,8,289,1,SCHV,79,137.16,6176.576075,6.176576075
19CS,AKS118/RTx2918,AKS118,RTx2918,17,306,2,SCHV,82,127,6189.505427,6.189505427
19CS,ATx2931/R11208,ATx2931,R11208,17,258,2,SCHT,78,116.84,6191.755205,6.191755205
19CS,A08068/R03248,A08068,R03248,14,265,2,SCHT,78,139.7,6197.507233,6.197507233
19CS,A01046/R04104,A01046,R04104,14,313,2,SCHV,79,127,6199.610578,6.199610578
19CS,A03121/RTx2919,A03121,RTx2919,12,303,2,SCHV,82,129.54,6208.195051,6.208195051
19CS,ATx2924/R05512,ATx2924,R05512,21,272,2,SCHT,85,147.32,6228.272667,6.228272667
19CS,A03032/RTx2918,A03032,RTx2918,21,320,2,SCHV,82,121.92,6229.252434,6.229252434
19CS,A03040/R12154,A03040,R12154,20,247,2,SCHT,80,152.4,6236.990591,6.236990591
19CS,AKS119/R08304,AKS119,R08304,20,295,2,SCHV,78,170.18,6237.354741,6.237354741
19CS,A01362/RTx2937,A01362,RTx2937,2,311,1,SCHV,79,127,6256.099401,6.256099401
19CS,A01362/RTx2943,A01362,RTx2943,2,263,1,SCHT,80,162.56,6257.777483,6.257777483
19CS,A07118/R12148,A07118,R12148,6,293,1,SCHV,83,147.32,6269.419392,6.269419392
19CS,A07118/R12157,A07118,R12157,6,245,1,SCHT,81,127,6271.14636,6.27114636
19CS,ATx644/RTx2936,ATx644,RTx2936,11,290,1,SCHV,81,142.24,6298.122639,6.298122639
19CS,A01362/R05512,A01362,R05512,2,255,1,SCHT,82,142.24,6309.810946,6.309810946
19CS,A01362/R05330,A01362,R05330,2,303,1,SCHV,79,144.78,6310.02006,6.31002006
19CS,A03055/R04104,A03055,R04104,15,298,2,SCHV,82,127,6333.259155,6.333259155
19CS,ATx3408/RTx2935,ATx3408,RTx2935,16,257,2,SCHT,82,144.78,6339.14942,6.33914942
19CS,A11085/RTx2944,A11085,RTx2944,16,305,2,SCHV,72,147.32,6340.509595,6.340509595
19CS,A03043/R08304,A03043,R08304,20,311,2,SCHV,82,129.54,6347.192323,6.347192323
19CS,A08140/R12156,A08140,R12156,20,263,2,SCHT,81,132.08,6348.814441,6.348814441
19CS,AKS116/RTx2920,AKS116,RTx2920,8,247,1,SCHT,74,111.76,6369.639583,6.369639583
19CS,AKS116/RTx2917,AKS116,RTx2917,8,295,1,SCHV,79,129.54,6370.740698,6.370740698
19CS,A07118/RTx2944,A07118,RTx2944,16,269,2,SCHT,75,144.78,6403.04404,6.40304404
19CS,AKS119/R01302,AKS119,R01302,16,317,2,SCHV,77,149.86,6405.153368,6.405153368
19CS,ATx2921/R12145,ATx2921,R12145,9,292,1,SCHV,87,137.16,6435.632733,6.435632733
19CS,A03017/RTx2918,A03017,RTx2918,2,267,1,SCHT,79,127,6436.495535,6.436495535
19CS,ATx2921/R12157,ATx2921,R12157,9,244,1,SCHT,83,147.32,6437.208806,6.437208806
19CS,A03017/R04060,A03017,R04060,2,315,1,SCHV,79,134.62,6437.416628,6.437416628
19CS,AKS116/RTx2944,AKS116,RTx2944,8,251,1,SCHT,74,132.08,6438.156759,6.438156759
19CS,AKS118/RTx2912,AKS118,RTx2912,8,309,1,SCHV,81,147.32,6438.568204,6.438568204
19CS,AKS118/RTx2916,AKS118,RTx2916,8,261,1,SCHT,79,142.24,6439.769234,6.439769234
19CS,AKS116/RTx2942,AKS116,RTx2942,8,299,1,SCHV,79,121.92,6440.152891,6.440152891
19CS,AKS120/R12071,AKS120,R12071,9,320,1,SCHV,75,149.86,6455.305832,6.455305832
19CS,AKS120/R12148,AKS120,R12148,9,272,1,SCHT,77,162.56,6455.872539,6.455872539
19CS,AKS120/R12071,AKS120,R12071,18,297,2,SCHV,77,149.86,6456.543551,6.456543551
19CS,A03121/RTx2913,A03121,RTx2913,18,249,2,SCHT,81,149.86,6457.528887,6.457528887
19CS,A03093/RTx2920,A03093,RTx2920,4,255,1,SCHT,76,132.08,6473.77799,6.47377799
19CS,A03121/R02107,A03121,R02107,4,303,1,SCHV,77,144.78,6474.404041,6.474404041
19CS,A01046/R05512,A01046,R05512,2,297,1,SCHV,79,129.54,6476.347661,6.476347661
19CS,ATx2930/R05393,ATx2930,R05393,10,275,1,SCHT,80,134.62,6477.932032,6.477932032
19CS,ATx2934/R11208,ATx2934,R11208,11,256,1,SCHT,82,127,6478.181059,6.478181059
19CS,ATx2930/R03248,ATx2930,R03248,10,323,1,SCHV,75,149.86,6478.807546,6.478807546
19CS,A01046/R11208,A01046,R11208,2,249,1,SCHT,76,124.46,6478.812344,6.478812344
19CS,ATx2934/R08297,ATx2934,R08297,11,304,1,SCHV,81,119.38,6479.489518,6.479489518
19CS,AKS120/RTx2942,AKS120,RTx2942,17,294,2,SCHV,80,162.56,6505.534869,6.505534869
19CS,A01362/RTx2912,A01362,RTx2912,17,246,2,SCHT,85,121.92,6507.633428,6.507633428
19CS,A03093/RTx2917,A03093,RTx2917,4,299,1,SCHV,81,132.08,6507.889467,6.507889467
19CS,A03093/R08297,A03093,R08297,4,251,1,SCHT,80,127,6509.303088,6.509303088
19CS,ATx2926/R01302,ATx2926,R01302,10,307,1,SCHV,82,139.7,6510.168091,6.510168091
19CS,ATx2926/R05393,ATx2926,R05393,10,259,1,SCHT,80,139.7,6511.423063,6.511423063
19CS,A01021/R11158,A01021,R11158,2,289,1,SCHV,75,152.4,6535.474639,6.535474639
19CS,A01021/R12145,A01021,R12145,2,241,1,SCHT,78,137.16,6536.360628,6.536360628
19CS,A01021/RTx2935,A01021,RTx2935,12,237,2,SCHT,81,137.16,6568.271327,6.568271327
19CS,ATx2923/R12145,ATx2923,R12145,12,285,2,SCHV,84,132.08,6570.513645,6.570513645
19CS,A06036/R08306,A06036,R08306,5,238,1,SCHT,74,139.7,6589.077954,6.589077954
19CS,A06036/R04104,A06036,R04104,5,286,1,SCHV,79,121.92,6591.372419,6.591372419
19CS,AKS120/RTx2918,AKS120,RTx2918,9,318,1,SCHV,77,149.86,6601.821547,6.601821547
19CS,AKS120/RTx2935,AKS120,RTx2935,9,270,1,SCHT,78,162.56,6603.046943,6.603046943
19CS,A06035/RTx2913,A06035,RTx2913,14,291,2,SCHV,82,132.08,6604.226994,6.604226994
19CS,A08140/R04104,A08140,R04104,17,250,2,SCHT,76,134.62,6604.862006,6.604862006
19CS,AKS120/R08306,AKS120,R08306,14,243,2,SCHT,75,160.02,6605.637707,6.605637707
19CS,A05269/R07161,A05269,R07161,17,298,2,SCHV,82,157.48,6605.856548,6.605856548
19CS,A03043/R05425,A03043,R05425,3,310,1,SCHV,82,119.38,6608.982253,6.608982253
19CS,A03043/R04104,A03043,R04104,3,262,1,SCHT,80,134.62,6608.982253,6.608982253
19CS,A03089/R05393,A03089,R05393,12,265,2,SCHT,83,144.78,6611.663014,6.611663014
19CS,ATx644/RTx2936,ATx644,RTx2936,12,313,2,SCHV,82,137.16,6613.446179,6.613446179
19CS,A03017/R04104,A03017,R04104,2,265,1,SCHT,78,129.54,6616.653602,6.616653602
19CS,AKS119/RTx2914,AKS119,RTx2914,8,271,1,SCHT,78,157.48,6633.583229,6.633583229
19CS,A05269/RTx2944,A05269,RTx2944,17,286,2,SCHV,82,142.24,6634.373748,6.634373748
19CS,AKS119/R08304,AKS119,R08304,8,319,1,SCHV,79,165.1,6635.274071,6.635274071
19CS,A03017/R04104,A03017,R04104,17,238,2,SCHT,79,132.08,6636.665055,6.636665055
19CS,A03043/R05330,A03043,R05330,12,289,2,SCHV,84,132.08,6643.173581,6.643173581
19CS,AKS116/R02107,AKS116,R02107,12,241,2,SCHT,80,142.24,6644.272058,6.644272058
19CS,ATx2931/R11208,ATx2931,R11208,11,262,1,SCHT,77,111.76,6649.614149,6.649614149
19CS,ATx2931/R08306,ATx2931,R08306,11,310,1,SCHV,77,157.48,6651.445782,6.651445782
19CS,AKS117/RTx2942,AKS117,RTx2942,8,305,1,SCHV,81,139.7,6675.205928,6.675205928
19CS,AKS118/RTx2935,AKS118,RTx2935,8,263,1,SCHT,79,139.7,6681.342564,6.681342564
19CS,AKS118/RTx2918,AKS118,RTx2918,8,311,1,SCHV,81,129.54,6682.550887,6.682550887
19CS,A03043/R08304,A03043,R08304,3,308,1,SCHV,79,116.84,6683.087491,6.683087491
19CS,A03093/R05386,A03093,R05386,4,293,1,SCHV,81,127,6684.13019,6.68413019
19CS,A03043/R05386,A03043,R05386,3,260,1,SCHT,80,127,6684.391763,6.684391763
19CS,A03089/RTx2917,A03089,RTx2917,4,245,1,SCHT,81,132.08,6685.541226,6.685541226
19CS,A08068/RTx2919,A08068,RTx2919,6,263,1,SCHT,80,132.08,6692.389584,6.692389584
19CS,A08068/R12156,A08068,R12156,6,311,1,SCHV,83,129.54,6692.546563,6.692546563
19CS,A08158/RTx2914,A08158,RTx2914,7,306,1,SCHV,83,144.78,6700.274981,6.700274981
19CS,ATx2924/RTx2936,ATx2924,RTx2936,10,253,1,SCHT,80,160.02,6702.817319,6.702817319
19CS,A03055/RTx2942,A03055,RTx2942,4,237,1,SCHT,77,137.16,6704.245973,6.704245973
19CS,ATx2924/RTx2920,ATx2924,RTx2920,10,301,1,SCHV,77,132.08,6704.544486,6.704544486
19CS,A03089/R04104,A03089,R04104,4,285,1,SCHV,82,132.08,6705.546506,6.705546506
19CS,A03054/R05405,A03054,R05405,3,250,1,SCHT,79,132.08,6706.778363,6.706778363
19CS,A03054/RTx2918,A03054,RTx2918,3,298,1,SCHV,77,119.38,6708.614184,6.708614184
19CS,A03089/R12157,A03089,R12157,16,249,2,SCHT,83,142.24,6714.909898,6.714909898
19CS,A03054/RTx2918,A03054,RTx2918,16,297,2,SCHV,78,121.92,6715.01515,6.71501515
19CS,ATx2923/RTx2936,ATx2923,RTx2936,19,260,2,SCHT,79,147.32,6739.106901,6.739106901
19CS,A05071/RTx2916,A05071,RTx2916,19,308,2,SCHV,80,144.78,6739.316685,6.739316685
19CS,ATx2931/R07161,ATx2931,R07161,11,266,1,SCHT,79,165.1,6758.915677,6.758915677
19CS,ATx2931/R05405,ATx2931,R05405,11,314,1,SCHV,77,129.54,6761.06621,6.76106621
19CS,A03040/R05393,A03040,R05393,3,276,1,SCHT,76,142.24,6765.179674,6.765179674
19CS,A03040/R03248,A03040,R03248,3,324,1,SCHV,72,144.78,6766.923991,6.766923991
19CS,ATx2924/R12145,ATx2924,R12145,10,299,1,SCHV,83,144.78,6774.523792,6.774523792
19CS,ATx2924/RTx2918,ATx2924,RTx2918,10,251,1,SCHT,80,142.24,6776.091969,6.776091969
19CS,A03054/RTx2940,A03054,RTx2940,21,292,2,SCHV,79,121.92,6811.186969,6.811186969
19CS,A03043/R12148,A03043,R12148,21,244,2,SCHT,83,134.62,6812.602689,6.812602689
19CS,A01021/R02107,A01021,R02107,19,244,2,SCHT,75,144.78,6843.224401,6.843224401
19CS,A05269/RTx2944,A05269,RTx2944,5,298,1,SCHV,79,137.16,6843.428095,6.843428095
19CS,A03032/RTx2943,A03032,RTx2943,19,292,2,SCHV,80,127,6844.533608,6.844533608
19CS,ATx2931/R01302,ATx2931,R01302,14,263,2,SCHT,76,157.48,6853.989904,6.853989904
19CS,A11076/R12148,A11076,R12148,14,311,2,SCHV,81,116.84,6855.247748,6.855247748
19CS,ATx2930/RTx2942,ATx2930,RTx2942,11,316,1,SCHV,80,144.78,6856.537513,6.856537513
19CS,ATx2931/R01302,ATx2931,R01302,11,268,1,SCHT,77,162.56,6857.153369,6.857153369
19CS,A01362/RTx2937,A01362,RTx2937,17,312,2,SCHV,83,127,6864.637426,6.864637426
19CS,A08158/R08224,A08158,R08224,17,264,2,SCHT,84,170.18,6865.0048,6.8650048
19CS,A05269/R05330,A05269,R05330,5,260,1,SCHT,82,162.56,6902.367016,6.902367016
19CS,A05269/R01302,A05269,R01302,5,308,1,SCHV,79,147.32,6903.461976,6.903461976
19CS,A03093/RTx2940,A03093,RTx2940,4,301,1,SCHV,77,116.84,6916.844182,6.916844182
19CS,A03093/RTx2913,A03093,RTx2913,4,253,1,SCHT,81,147.32,6917.997864,6.917997864
19CS,A03054/R01302,A03054,R01302,19,298,2,SCHV,82,121.92,6965.940787,6.965940787
19CS,A07124/RTx2917,A07124,RTx2917,19,250,2,SCHT,80,129.54,6967.830567,6.967830567
19CS,A11076/R12154,A11076,R12154,7,252,1,SCHT,81,139.7,6976.722442,6.976722442
19CS,A11076/R12148,A11076,R12148,7,300,1,SCHV,82,132.08,6978.506421,6.978506421
19CS,ATx2923/R05405,ATx2923,R05405,9,238,1,SCHT,80,139.7,6981.236343,6.981236343
19CS,ATx2923/R05330,ATx2923,R05330,9,286,1,SCHV,84,147.32,6982.015586,6.982015586
19CS,A03032/RTx2942,A03032,RTx2942,2,273,1,SCHT,80,121.92,6984.043292,6.984043292
19CS,A03032/RTx2918,A03032,RTx2918,2,321,1,SCHV,82,106.68,6985.949488,6.985949488
19CS,ATx2930/RTx2920,ATx2930,RTx2920,20,293,2,SCHV,75,127,6992.0322,6.9920322
19CS,AKS120/RTx2944,AKS120,RTx2944,9,268,1,SCHT,73,157.48,6992.837579,6.992837579
19CS,ATx2930/R08303,ATx2930,R08303,11,322,1,SCHV,77,137.16,6992.982773,6.992982773
19CS,A08158/R01302,A08158,R01302,20,245,2,SCHT,81,149.86,6993.661922,6.993661922
19CS,AKS120/RTx2942,AKS120,RTx2942,9,316,1,SCHV,75,162.56,6993.816095,6.993816095
19CS,ATx2930/R11158,ATx2930,R11158,11,274,1,SCHT,78,167.64,6995.294928,6.995294928
19CS,A08140/RTx2942,A08140,RTx2942,7,316,1,SCHV,77,142.24,7018.118828,7.018118828
19CS,A08158/R01302,A08158,R01302,7,268,1,SCHT,81,142.24,7019.500952,7.019500952
19CS,A08158/R12145,A08158,R12145,7,262,1,SCHT,84,127,7031.359387,7.031359387
19CS,A08158/R12071,A08158,R12071,7,310,1,SCHV,77,134.62,7031.463944,7.031463944
19CS,A08134/R11158,A08134,R11158,6,271,1,SCHT,74,167.64,7049.923707,7.049923707
19CS,AN263/R12148,AN263,R12148,20,299,2,SCHV,79,137.16,7050.373115,7.050373115
19CS,A08134/R08297,A08134,R08297,6,319,1,SCHV,75,137.16,7051.519307,7.051519307
19CS,AKS119/R05512,AKS119,R05512,20,251,2,SCHT,79,165.1,7052.360609,7.052360609
19CS,A01046/R12156,A01046,R12156,16,321,2,SCHV,79,124.46,7052.92393,7.05292393
19CS,A06035/RTx2917,A06035,RTx2917,16,273,2,SCHT,80,127,7053.490637,7.053490637
19CS,ATx2924/R05386,ATx2924,R05386,10,245,1,SCHT,79,137.16,7058.360426,7.058360426
19CS,ATx2924/R04060,ATx2924,R04060,10,293,1,SCHV,81,142.24,7058.831363,7.058831363
19CS,AN290/RTx2943,AN290,RTx2943,9,250,1,SCHT,80,132.08,7066.000254,7.066000254
19CS,AN290/RTx2942,AN290,RTx2942,9,298,1,SCHV,80,121.92,7068.515366,7.068515366
19CS,A05071/RTx2918,A05071,RTx2918,5,324,1,SCHV,77,139.7,7073.346002,7.073346002
19CS,A05071/RTx2936,A05071,RTx2936,5,276,1,SCHT,78,149.86,7074.366687,7.074366687
19CS,A08158/R03248,A08158,R03248,7,314,1,SCHV,79,142.24,7080.944606,7.080944606
19CS,A08158/R05330,A08158,R05330,7,266,1,SCHT,80,160.02,7082.618094,7.082618094
19CS,A01362/R12145,A01362,R12145,2,307,1,SCHV,82,137.16,7084.618282,7.084618282
19CS,A01362/RTx2912,A01362,RTx2912,2,259,1,SCHT,85,137.16,7084.618282,7.084618282
19CS,A11076/RTx2918,A11076,RTx2918,7,298,1,SCHV,82,132.08,7085.363666,7.085363666
19CS,A11076/RTx2918,A11076,RTx2918,7,250,1,SCHT,81,137.16,7087.559867,7.087559867
19CS,AHF14/R07161,AHF14,R07161,11,288,1,SCHV,83,139.7,7094.755139,7.094755139
19CS,A05071/R08297,A05071,R08297,4,319,1,SCHV,77,129.54,7099.04917,7.09904917
19CS,A05071/R05330,A05071,R05330,4,271,1,SCHT,80,127,7100.63698,7.10063698
19CS,A01362/R05330,A01362,R05330,16,293,2,SCHV,81,152.4,7102.559531,7.102559531
19CS,AKS120/RTx2944,AKS120,RTx2944,16,245,2,SCHT,75,165.1,7104.335171,7.104335171
