pedigree,female,male,env,blue
A01021/R07178,A01021,R07178,20CS,85.5
A01021/R11158,A01021,R11158,20CS,82
A01021/R12145,A01021,R12145,20CS,85
A01021/RTx2917,A01021,RTx2917,20CS,78.5
A01021/RTx2935,A01021,RTx2935,20CS,84.5
A01021/RTx2943,A01021,RTx2943,20CS,78
A01046/R04104,A01046,R04104,20CS,81.5
A01046/R05386,A01046,R05386,20CS,86
A01046/R05512,A01046,R05512,20CS,84
A01046/R11208,A01046,R11208,20CS,86.5
A01046/R12156,A01046,R12156,20CS,85
A01046/RTx2914,A01046,RTx2914,20CS,86.5
A01046/RTx2935,A01046,RTx2935,20CS,82
A01362/R04060,A01362,R04060,20CS,88
A01362/R05330,A01362,R05330,20CS,84.5
A01362/R05512,A01362,R05512,20CS,92.5
A01362/R07178,A01362,R07178,20CS,86.5
A01362/R08304,A01362,R08304,20CS,89
A01362/R12145,A01362,R12145,20CS,87.5
A01362/RTx2912,A01362,RTx2912,20CS,92
A01362/RTx2914,A01362,RTx2914,20CS,86.5
A01362/RTx2919,A01362,RTx2919,20CS,87.5
A01362/RTx2937,A01362,RTx2937,20CS,84.5
A01362/RTx2943,A01362,RTx2943,20CS,88
A03017/R04060,A03017,R04060,20CS,84.5
A03017/R04104,A03017,R04104,20CS,85
A03017/RTx2918,A03017,RTx2918,20CS,86
A03017/RTx2920,A03017,RTx2920,20CS,81
A03032/R04060,A03032,R04060,20CS,88.5
A03032/R08297,A03032,R08297,20CS,85
A03032/RTx2913,A03032,RTx2913,20CS,87.5
A03032/RTx2918,A03032,RTx2918,20CS,87
A03032/RTx2942,A03032,RTx2942,20CS,89
A03032/RTx2943,A03032,RTx2943,20CS,81.5
A03040/R03248,A03040,R03248,20CS,78.5
A03040/R04104,A03040,R04104,20CS,85
A03040/R05393,A03040,R05393,20CS,84
A03040/R07178,A03040,R07178,20CS,84
A03040/R08306,A03040,R08306,20CS,81.5
A03040/R12071,A03040,R12071,20CS,80.5
A03040/R12154,A03040,R12154,20CS,83
A03040/RTx2913,A03040,RTx2913,20CS,82
A03040/RTx2917,A03040,RTx2917,20CS,84.5
A03040/RTx2940,A03040,RTx2940,20CS,77
A03040/RTx2942,A03040,RTx2942,20CS,84
A03043/R01302,A03043,R01302,20CS,83
A03043/R04104,A03043,R04104,20CS,89
A03043/R05330,A03043,R05330,20CS,87
A03043/R05386,A03043,R05386,20CS,89.5
A03043/R05425,A03043,R05425,20CS,84
A03043/R08297,A03043,R08297,20CS,91
A03043/R08304,A03043,R08304,20CS,84
A03043/R12148,A03043,R12148,20CS,87.5
A03043/RTx2913,A03043,RTx2913,20CS,87
A03043/RTx2920,A03043,RTx2920,20CS,89
A03043/RTx2940,A03043,RTx2940,20CS,84
A03054/R01302,A03054,R01302,20CS,80.5
A03054/R05405,A03054,R05405,20CS,89
A03054/R07161,A03054,R07161,20CS,85.5
A03054/R12156,A03054,R12156,20CS,87
A03054/RTx2918,A03054,RTx2918,20CS,84
A03054/RTx2936,A03054,RTx2936,20CS,85.5
A03054/RTx2940,A03054,RTx2940,20CS,81
A03054/RTx2941,A03054,RTx2941,20CS,88
A03055/R04104,A03055,R04104,20CS,84
A03055/R05330,A03055,R05330,20CS,85
A03055/R07161,A03055,R07161,20CS,85.5
A03055/R08297,A03055,R08297,20CS,85.5
A03055/R12148,A03055,R12148,20CS,84.5
A03055/RTx2918,A03055,RTx2918,20CS,85.5
A03055/RTx2936,A03055,RTx2936,20CS,84.5
A03055/RTx2942,A03055,RTx2942,20CS,86
A03055/RTx2943,A03055,RTx2943,20CS,82.5
A03055/RTx2944,A03055,RTx2944,20CS,83
A03089/R04104,A03089,R04104,20CS,85.5
A03089/R05393,A03089,R05393,20CS,89.5
A03089/R08224,A03089,R08224,20CS,88.5
A03089/R12157,A03089,R12157,20CS,91
A03089/RTx2914,A03089,RTx2914,20CS,86
A03089/RTx2917,A03089,RTx2917,20CS,90
A03093/R02107,A03093,R02107,20CS,84.5
A03093/R05386,A03093,R05386,20CS,86.5
A03093/R05405,A03093,R05405,20CS,89.5
A03093/R07178,A03093,R07178,20CS,84
A03093/R08297,A03093,R08297,20CS,87.5
A03093/R12148,A03093,R12148,20CS,84.5
A03093/RTx2913,A03093,RTx2913,20CS,89
A03093/RTx2917,A03093,RTx2917,20CS,86
A03093/RTx2920,A03093,RTx2920,20CS,83
A03093/RTx2940,A03093,RTx2940,20CS,81
A03093/RTx2944,A03093,RTx2944,20CS,84
A03121/R02107,A03121,R02107,20CS,83
A03121/R05330,A03121,R05330,20CS,87.5
A03121/R05425,A03121,R05425,20CS,84
A03121/R07178,A03121,R07178,20CS,88.5
A03121/R08224,A03121,R08224,20CS,89
A03121/R08303,A03121,R08303,20CS,86.681704
A03121/R12157,A03121,R12157,20CS,85.5
A03121/RTx2913,A03121,RTx2913,20CS,88
A03121/RTx2919,A03121,RTx2919,20CS,84.5
A03121/RTx2935,A03121,RTx2935,20CS,89
A03121/RTx2944,A03121,RTx2944,20CS,82
A05071/R02107,A05071,R02107,20CS,84
A05071/R04060,A05071,R04060,20CS,85
A05071/R05330,A05071,R05330,20CS,88
A05071/R05405,A05071,R05405,20CS,87
A05071/R05425,A05071,R05425,20CS,84.5
A05071/R08297,A05071,R08297,20CS,84
A05071/R11158,A05071,R11158,20CS,84.5
A05071/R12154,A05071,R12154,20CS,82
A05071/RTx2916,A05071,RTx2916,20CS,84
A05071/RTx2918,A05071,RTx2918,20CS,87
A05071/RTx2936,A05071,RTx2936,20CS,85
A05071/RTx2942,A05071,RTx2942,20CS,80.5
A05210/R03248,A05210,R03248,20CS,89.5
A05210/R05330,A05210,R05330,20CS,84
A05210/R05405,A05210,R05405,20CS,89
A05210/R05512,A05210,R05512,20CS,84.5
A05210/R08224,A05210,R08224,20CS,92.5
A05210/R12145,A05210,R12145,20CS,87
A05210/R12154,A05210,R12154,20CS,87
A05210/R12157,A05210,R12157,20CS,85
A05210/RTx2937,A05210,RTx2937,20CS,87.5
A05210/RTx2938,A05210,RTx2938,20CS,84
A05210/RTx2943,A05210,RTx2943,20CS,86.5
A05269/R01302,A05269,R01302,20CS,83.5
A05269/R05330,A05269,R05330,20CS,89
A05269/R07161,A05269,R07161,20CS,88
A05269/R08303,A05269,R08303,20CS,86.5
A05269/R08306,A05269,R08306,20CS,84
A05269/R11208,A05269,R11208,20CS,90
A05269/R12156,A05269,R12156,20CS,85.5
A05269/RTx2919,A05269,RTx2919,20CS,89.5
A05269/RTx2936,A05269,RTx2936,20CS,82.5
A05269/RTx2943,A05269,RTx2943,20CS,86
A05269/RTx2944,A05269,RTx2944,20CS,82.5
A06035/R03248,A06035,R03248,20CS,89
A06035/R05330,A06035,R05330,20CS,83
A06035/R12154,A06035,R12154,20CS,87.5
A06035/RTx2913,A06035,RTx2913,20CS,82.5
A06035/RTx2917,A06035,RTx2917,20CS,87.5
A06035/RTx2920,A06035,RTx2920,20CS,81.5
A06035/RTx2936,A06035,RTx2936,20CS,85.5
A06035/RTx2943,A06035,RTx2943,20CS,83.5
A06036/R04104,A06036,R04104,20CS,82
A06036/R08306,A06036,R08306,20CS,82.5
A06036/R11158,A06036,R11158,20CS,79.5
A06036/R12156,A06036,R12156,20CS,87.5
A06036/RTx2919,A06036,RTx2919,20CS,85
A06036/RTx2940,A06036,RTx2940,20CS,81.5
A07118/R07161,A07118,R07161,20CS,85
A07118/R08224,A07118,R08224,20CS,90.5
A07118/R08304,A07118,R08304,20CS,83
A07118/R12145,A07118,R12145,20CS,89
A07118/R12148,A07118,R12148,20CS,84.5
A07118/R12157,A07118,R12157,20CS,89.5
A07118/RTx2919,A07118,RTx2919,20CS,84.5
A07118/RTx2944,A07118,RTx2944,20CS,84
A07124/R01302,A07124,R01302,20CS,79.5
A07124/R04060,A07124,R04060,20CS,85.5
A07124/R05330,A07124,R05330,20CS,83
A07124/R05425,A07124,R05425,20CS,85.5
A07124/R07178,A07124,R07178,20CS,81.5
A07124/R11158,A07124,R11158,20CS,83
A07124/R11208,A07124,R11208,20CS,83.5
A07124/RTx2917,A07124,RTx2917,20CS,87
A07124/RTx2919,A07124,RTx2919,20CS,81.5
A07124/RTx2935,A07124,RTx2935,20CS,89
A07124/RTx2943,A07124,RTx2943,20CS,80
A08068/R03248,A08068,R03248,20CS,89
A08068/R07161,A08068,R07161,20CS,82.5
A08068/R11158,A08068,R11158,20CS,85
A08068/R12156,A08068,R12156,20CS,84.5
A08068/RTx2919,A08068,RTx2919,20CS,89
A08068/RTx2941,A08068,RTx2941,20CS,85
A08134/R02107,A08134,R02107,20CS,78.5
A08134/R04060,A08134,R04060,20CS,82.5
A08134/R05405,A08134,R05405,20CS,84
A08134/R07178,A08134,R07178,20CS,83.5
A08134/R08297,A08134,R08297,20CS,81
A08134/R11158,A08134,R11158,20CS,82
A08134/R12148,A08134,R12148,20CS,79.5
A08134/RTx2918,A08134,RTx2918,20CS,84
A08134/RTx2936,A08134,RTx2936,20CS,78.5
A08134/RTx2940,A08134,RTx2940,20CS,79.5
A08134/RTx2943,A08134,RTx2943,20CS,78
A08140/R04060,A08140,R04060,20CS,82
A08140/R04104,A08140,R04104,20CS,82.5
A08140/R05386,A08140,R05386,20CS,88
A08140/R07178,A08140,R07178,20CS,82.5
A08140/R08303,A08140,R08303,20CS,85.5
A08140/R12148,A08140,R12148,20CS,82.5
A08140/R12156,A08140,R12156,20CS,87.5
A08140/RTx2942,A08140,RTx2942,20CS,82.5
A08158/R01302,A08158,R01302,20CS,89
A08158/R03248,A08158,R03248,20CS,84
A08158/R05330,A08158,R05330,20CS,89.5
A08158/R07178,A08158,R07178,20CS,84.5
A08158/R08224,A08158,R08224,20CS,93
A08158/R12071,A08158,R12071,20CS,81.5
A08158/R12145,A08158,R12145,20CS,89.5
A08158/R12154,A08158,R12154,20CS,82.5
A08158/RTx2912,A08158,RTx2912,20CS,90.5
A08158/RTx2914,A08158,RTx2914,20CS,84
A08158/RTx2917,A08158,RTx2917,20CS,89
A08158/RTx2939,A08158,RTx2939,20CS,88
A11076/R04060,A11076,R04060,20CS,90
A11076/R07178,A11076,R07178,20CS,83.5
A11076/R08297,A11076,R08297,20CS,87.5
A11076/R12148,A11076,R12148,20CS,84
A11076/R12154,A11076,R12154,20CS,87.5
A11076/RTx2918,A11076,RTx2918,20CS,86.75
A11076/RTx2938,A11076,RTx2938,20CS,82
A11076/RTx2940,A11076,RTx2940,20CS,86.5
A11085/R02107,A11085,R02107,20CS,80.5
A11085/R03248,A11085,R03248,20CS,80.5
A11085/R04104,A11085,R04104,20CS,82.5
A11085/R07178,A11085,R07178,20CS,85.5
A11085/R12148,A11085,R12148,20CS,80.5
A11085/RTx2942,A11085,RTx2942,20CS,85
A11085/RTx2944,A11085,RTx2944,20CS,78.5
AHF14/R07161,AHF14,R07161,20CS,85.5
AHF14/RTx2943,AHF14,RTx2943,20CS,82.5
AKS116/R02107,AKS116,R02107,20CS,81.5
AKS116/R08303,AKS116,R08303,20CS,80.5
AKS116/RTx2917,AKS116,RTx2917,20CS,82.5
AKS116/RTx2920,AKS116,RTx2920,20CS,80
AKS116/RTx2936,AKS116,RTx2936,20CS,79.5
AKS116/RTx2940,AKS116,RTx2940,20CS,83.5
AKS116/RTx2942,AKS116,RTx2942,20CS,81
AKS116/RTx2944,AKS116,RTx2944,20CS,79.5
AKS117/R01302,AKS117,R01302,20CS,80.5
AKS117/R12148,AKS117,R12148,20CS,88
AKS117/RTx2914,AKS117,RTx2914,20CS,86.5
AKS117/RTx2942,AKS117,RTx2942,20CS,83.5
AKS118/R08303,AKS118,R08303,20CS,81
AKS118/R12156,AKS118,R12156,20CS,87
AKS118/RTx2912,AKS118,RTx2912,20CS,84
AKS118/RTx2916,AKS118,RTx2916,20CS,86
AKS118/RTx2918,AKS118,RTx2918,20CS,82.5
AKS118/RTx2935,AKS118,RTx2935,20CS,84
AKS118/RTx2943,AKS118,RTx2943,20CS,81
AKS119/R01302,AKS119,R01302,20CS,77
AKS119/R05386,AKS119,R05386,20CS,84.5
AKS119/R05393,AKS119,R05393,20CS,81.5
AKS119/R05512,AKS119,R05512,20CS,87
AKS119/R08304,AKS119,R08304,20CS,80.5
AKS119/RTx2914,AKS119,RTx2914,20CS,81
AKS119/RTx2918,AKS119,RTx2918,20CS,80
AKS119/RTx2919,AKS119,RTx2919,20CS,84.5
AKS120/R04060,AKS120,R04060,20CS,85.5
AKS120/R05425,AKS120,R05425,20CS,78.5
AKS120/R07161,AKS120,R07161,20CS,84.5
AKS120/R08303,AKS120,R08303,20CS,77.5
AKS120/R08306,AKS120,R08306,20CS,80
AKS120/R12071,AKS120,R12071,20CS,75
AKS120/R12148,AKS120,R12148,20CS,82
AKS120/RTx2918,AKS120,RTx2918,20CS,78.5
AKS120/RTx2935,AKS120,RTx2935,20CS,83
AKS120/RTx2942,AKS120,RTx2942,20CS,76.5
AKS120/RTx2944,AKS120,RTx2944,20CS,80
AN263/R08224,AN263,R08224,20CS,91
AN263/R11208,AN263,R11208,20CS,92
AN263/R12148,AN263,R12148,20CS,84
AN263/RTx2935,AN263,RTx2935,20CS,92
AN263/RTx2936,AN263,RTx2936,20CS,81
AN263/RTx2938,AN263,RTx2938,20CS,90.5
AN268/R11158,AN268,R11158,20CS,78
AN268/R12148,AN268,R12148,20CS,81.5
AN268/R12154,AN268,R12154,20CS,79.5
AN290/R02107,AN290,R02107,20CS,87
AN290/R03248,AN290,R03248,20CS,85.5
AN290/R05386,AN290,R05386,20CS,88
AN290/R07161,AN290,R07161,20CS,87
AN290/R12154,AN290,R12154,20CS,87
AN290/RTx2917,AN290,RTx2917,20CS,87
AN290/RTx2920,AN290,RTx2920,20CS,83
AN290/RTx2942,AN290,RTx2942,20CS,83.5
AN290/RTx2943,AN290,RTx2943,20CS,87
ATx2921/R01302,ATx2921,R01302,20CS,82.5
ATx2921/R05330,ATx2921,R05330,20CS,87.5
ATx2921/R05405,ATx2921,R05405,20CS,87.5
ATx2921/R07178,ATx2921,R07178,20CS,86.5
ATx2921/R12145,ATx2921,R12145,20CS,87
ATx2921/R12157,ATx2921,R12157,20CS,88
ATx2921/RTx2914,ATx2921,RTx2914,20CS,84
ATx2921/RTx2918,ATx2921,RTx2918,20CS,87.5
ATx2923/R03248,ATx2923,R03248,20CS,87
ATx2923/R04104,ATx2923,R04104,20CS,81.5
ATx2923/R05330,ATx2923,R05330,20CS,82.5
ATx2923/R05405,ATx2923,R05405,20CS,87
ATx2923/R05425,ATx2923,R05425,20CS,85
ATx2923/R08297,ATx2923,R08297,20CS,82.5
ATx2923/R11158,ATx2923,R11158,20CS,84
ATx2923/R11208,ATx2923,R11208,20CS,87
ATx2923/R12145,ATx2923,R12145,20CS,86.5
ATx2923/RTx2913,ATx2923,RTx2913,20CS,87
ATx2923/RTx2917,ATx2923,RTx2917,20CS,83
ATx2923/RTx2936,ATx2923,RTx2936,20CS,82.5
ATx2924/R04060,ATx2924,R04060,20CS,82
ATx2924/R05386,ATx2924,R05386,20CS,87
ATx2924/R05393,ATx2924,R05393,20CS,82.5
ATx2924/R05512,ATx2924,R05512,20CS,87
ATx2924/R08224,ATx2924,R08224,20CS,86
ATx2924/R11158,ATx2924,R11158,20CS,82
ATx2924/R12145,ATx2924,R12145,20CS,85.5
ATx2924/RTx2918,ATx2924,RTx2918,20CS,85
ATx2924/RTx2920,ATx2924,RTx2920,20CS,78
ATx2924/RTx2936,ATx2924,RTx2936,20CS,80
ATx2924/RTx2940,ATx2924,RTx2940,20CS,79
ATx2924/RTx2941,ATx2924,RTx2941,20CS,86.5
ATx2926/R01302,ATx2926,R01302,20CS,81
ATx2926/R05393,ATx2926,R05393,20CS,87
ATx2926/R05405,ATx2926,R05405,20CS,85
ATx2926/R07161,ATx2926,R07161,20CS,86
ATx2926/R08297,ATx2926,R08297,20CS,81.5
ATx2926/R08304,ATx2926,R08304,20CS,87
ATx2926/R12154,ATx2926,R12154,20CS,85
ATx2926/RTx2913,ATx2926,RTx2913,20CS,87
ATx2926/RTx2917,ATx2926,RTx2917,20CS,82
ATx2926/RTx2919,ATx2926,RTx2919,20CS,86
ATx2926/RTx2944,ATx2926,RTx2944,20CS,79
ATx2927/R12157,ATx2927,R12157,20CS,89
ATx2927/RTx2936,ATx2927,RTx2936,20CS,81.5
ATx2927/RTx2937,ATx2927,RTx2937,20CS,86
ATx2930/R01302,ATx2930,R01302,20CS,78
ATx2930/R02107,ATx2930,R02107,20CS,83.5
ATx2930/R03248,ATx2930,R03248,20CS,78.5
ATx2930/R05393,ATx2930,R05393,20CS,84
ATx2930/R05425,ATx2930,R05425,20CS,80
ATx2930/R07178,ATx2930,R07178,20CS,86
ATx2930/R08303,ATx2930,R08303,20CS,79
ATx2930/R11158,ATx2930,R11158,20CS,83.5
ATx2930/R12154,ATx2930,R12154,20CS,83.5
ATx2930/RTx2920,ATx2930,RTx2920,20CS,75.5
ATx2930/RTx2940,ATx2930,RTx2940,20CS,79.5
ATx2930/RTx2942,ATx2930,RTx2942,20CS,81
ATx2931/R01302,ATx2931,R01302,20CS,81
ATx2931/R05405,ATx2931,R05405,20CS,87
ATx2931/R07161,ATx2931,R07161,20CS,87
ATx2931/R08297,ATx2931,R08297,20CS,83
ATx2931/R08304,ATx2931,R08304,20CS,86.5
ATx2931/R08306,ATx2931,R08306,20CS,81.5
ATx2931/R11208,ATx2931,R11208,20CS,84
ATx2931/RTx2936,ATx2931,RTx2936,20CS,81.5
ATx2931/RTx2940,ATx2931,RTx2940,20CS,81.5
ATx2931/RTx2943,ATx2931,RTx2943,20CS,81
ATx2934/R05386,ATx2934,R05386,20CS,83
ATx2934/R08297,ATx2934,R08297,20CS,82.5
ATx2934/R11208,ATx2934,R11208,20CS,87.5
ATx2934/R12157,ATx2934,R12157,20CS,82.5
ATx2934/RTx2935,ATx2934,RTx2935,20CS,85
ATx2934/RTx2941,ATx2934,RTx2941,20CS,87
ATx3408/R05330,ATx3408,R05330,20CS,88
ATx3408/R12145,ATx3408,R12145,20CS,87
ATx3408/RTx2935,ATx3408,RTx2935,20CS,89
ATx3409/R08224,ATx3409,R08224,20CS,83.5
ATx644/R05330,ATx644,R05330,20CS,83
ATx644/R08224,ATx644,R08224,20CS,86
ATx644/RTx2935,ATx644,RTx2935,20CS,84.5
ATx644/RTx2936,ATx644,RTx2936,20CS,81
A01021/R01302,A01021,R01302,20LY,65.5
A01021/R05425,A01021,R05425,20LY,63
A01021/R11158,A01021,R11158,20LY,64
A01021/RTx2917,A01021,RTx2917,20LY,63
A01021/RTx2943,A01021,RTx2943,20LY,64
A01046/R04104,A01046,R04104,20LY,68.5
A01046/R05512,A01046,R05512,20LY,68.5
A01046/R12156,A01046,R12156,20LY,72
A01046/RTx2935,A01046,RTx2935,20LY,66.5
A01362/R05330,A01362,R05330,20LY,68
A01362/R07178,A01362,R07178,20LY,67
A01362/R12145,A01362,R12145,20LY,68
A01362/RTx2914,A01362,RTx2914,20LY,68
A01362/RTx2937,A01362,RTx2937,20LY,65.5
A03017/R04060,A03017,R04060,20LY,68.5
A03017/RTx2920,A03017,RTx2920,20LY,67
A03032/R08297,A03032,R08297,20LY,66
A03032/RTx2918,A03032,RTx2918,20LY,67
A03032/RTx2943,A03032,RTx2943,20LY,67
A03040/R03248,A03040,R03248,20LY,64.5
A03040/R07178,A03040,R07178,20LY,66
A03040/RTx2913,A03040,RTx2913,20LY,65.5
A03040/RTx2940,A03040,RTx2940,20LY,63.5
A03043/R01302,A03043,R01302,20LY,69
A03043/R05330,A03043,R05330,20LY,70.5
A03043/R05425,A03043,R05425,20LY,69
A03043/R08304,A03043,R08304,20LY,69.5
A03043/RTx2913,A03043,RTx2913,20LY,70.5
A03043/RTx2940,A03043,RTx2940,20LY,68.5
A03054/R01302,A03054,R01302,20LY,68.5
A03054/R07161,A03054,R07161,20LY,68.5
A03054/RTx2918,A03054,RTx2918,20LY,64
A03054/RTx2940,A03054,RTx2940,20LY,68.5
A03055/R04104,A03055,R04104,20LY,68.5
A03055/R07161,A03055,R07161,20LY,68.5
A03055/R12148,A03055,R12148,20LY,69
A03055/RTx2936,A03055,RTx2936,20LY,67
A03055/RTx2943,A03055,RTx2943,20LY,68.5
A03089/R04104,A03089,R04104,20LY,68.5
A03089/R08224,A03089,R08224,20LY,72
A03089/RTx2914,A03089,RTx2914,20LY,70.5
A03093/R05386,A03093,R05386,20LY,66.5
A03093/R07178,A03093,R07178,20LY,68
A03093/R12148,A03093,R12148,20LY,68.5
A03093/RTx2917,A03093,RTx2917,20LY,67
A03093/RTx2940,A03093,RTx2940,20LY,68
A03121/R02107,A03121,R02107,20LY,67
A03121/R05425,A03121,R05425,20LY,68
A03121/R08224,A03121,R08224,20LY,71.5
A03121/R12157,A03121,R12157,20LY,68
A03121/RTx2919,A03121,RTx2919,20LY,64
A03121/RTx2944,A03121,RTx2944,20LY,64
A05071/R04060,A05071,R04060,20LY,68.5
A05071/R05405,A05071,R05405,20LY,68
A05071/R08297,A05071,R08297,20LY,65
A05071/R12154,A05071,R12154,20LY,68
A05071/RTx2916,A05071,RTx2916,20LY,68
A05071/RTx2918,A05071,RTx2918,20LY,66
A05071/RTx2942,A05071,RTx2942,20LY,63.5
A05210/R05330,A05210,R05330,20LY,68
A05210/R05512,A05210,R05512,20LY,68.5
A05210/R12145,A05210,R12145,20LY,68.5
A05210/R12157,A05210,R12157,20LY,67
A05210/RTx2938,A05210,RTx2938,20LY,68
A05269/R01302,A05269,R01302,20LY,68
A05269/R07161,A05269,R07161,20LY,68
A05269/R08306,A05269,R08306,20LY,66.5
A05269/R12156,A05269,R12156,20LY,69
A05269/RTx2936,A05269,RTx2936,20LY,66.5
A05269/RTx2944,A05269,RTx2944,20LY,66
A06035/R05330,A06035,R05330,20LY,68
A06035/RTx2913,A06035,RTx2913,20LY,68.5
A06035/RTx2920,A06035,RTx2920,20LY,66
A06035/RTx2943,A06035,RTx2943,20LY,68
A06036/R04104,A06036,R04104,20LY,66
A06036/R11158,A06036,R11158,20LY,65.5
A06036/RTx2919,A06036,RTx2919,20LY,68
A07118/R07161,A07118,R07161,20LY,66
A07118/R08304,A07118,R08304,20LY,65
A07118/R12148,A07118,R12148,20LY,68
A07118/RTx2919,A07118,RTx2919,20LY,64
A07124/R01302,A07124,R01302,20LY,67
A07124/R05330,A07124,R05330,20LY,69.5
A07124/R07178,A07124,R07178,20LY,68
A07124/R11208,A07124,R11208,20LY,66
A07124/RTx2919,A07124,RTx2919,20LY,65
A07124/RTx2943,A07124,RTx2943,20LY,68
A08068/R07161,A08068,R07161,20LY,69
A08068/R12156,A08068,R12156,20LY,70
A08068/RTx2941,A08068,RTx2941,20LY,70
A08134/R02107,A08134,R02107,20LY,66
A08134/R05405,A08134,R05405,20LY,64
A08134/R08297,A08134,R08297,20LY,64.5
A08134/R12148,A08134,R12148,20LY,66
A08134/RTx2936,A08134,RTx2936,20LY,63.5
A08134/RTx2943,A08134,RTx2943,20LY,65.5
A08140/R04060,A08140,R04060,20LY,68
A08140/R07178,A08140,R07178,20LY,68
A08140/R12148,A08140,R12148,20LY,68
A08140/RTx2942,A08140,RTx2942,20LY,64
A08158/R03248,A08158,R03248,20LY,67
A08158/R07178,A08158,R07178,20LY,68
A08158/R12071,A08158,R12071,20LY,67
A08158/R12154,A08158,R12154,20LY,68
A08158/RTx2914,A08158,RTx2914,20LY,68
A08158/RTx2939,A08158,RTx2939,20LY,68
A11076/R07178,A11076,R07178,20LY,68
A11076/R12148,A11076,R12148,20LY,68
A11076/RTx2918,A11076,RTx2918,20LY,64.5
A11076/RTx2938,A11076,RTx2938,20LY,68
A11085/R02107,A11085,R02107,20LY,66.5
A11085/R03248,A11085,R03248,20LY,66.5
A11085/R12148,A11085,R12148,20LY,66
A11085/RTx2944,A11085,RTx2944,20LY,63
AHF14/R07161,AHF14,R07161,20LY,68
AHF14/RTx2943,AHF14,RTx2943,20LY,68
AKS116/R08303,AKS116,R08303,20LY,66
AKS116/RTx2917,AKS116,RTx2917,20LY,66
AKS116/RTx2936,AKS116,RTx2936,20LY,68
AKS116/RTx2942,AKS116,RTx2942,20LY,64.5
AKS117/R01302,AKS117,R01302,20LY,68
AKS117/RTx2914,AKS117,RTx2914,20LY,69.5
AKS117/RTx2942,AKS117,RTx2942,20LY,67
AKS118/R08303,AKS118,R08303,20LY,66.5
AKS118/RTx2912,AKS118,RTx2912,20LY,71
AKS118/RTx2918,AKS118,RTx2918,20LY,67
AKS118/RTx2943,AKS118,RTx2943,20LY,69
AKS119/R01302,AKS119,R01302,20LY,68
AKS119/R05393,AKS119,R05393,20LY,68.5
AKS119/R08304,AKS119,R08304,20LY,65.5
AKS119/RTx2918,AKS119,RTx2918,20LY,65
AKS120/R05425,AKS120,R05425,20LY,64
AKS120/R08303,AKS120,R08303,20LY,63
AKS120/R12071,AKS120,R12071,20LY,65
AKS120/RTx2918,AKS120,RTx2918,20LY,63.5
AKS120/RTx2942,AKS120,RTx2942,20LY,63
AN263/R08224,AN263,R08224,20LY,72.237374
AN263/R12148,AN263,R12148,20LY,70.5
AN263/RTx2936,AN263,RTx2936,20LY,68
AN268/R11158,AN268,R11158,20LY,68
AN268/R12154,AN268,R12154,20LY,67
AN290/R03248,AN290,R03248,20LY,69.5
AN290/R07161,AN290,R07161,20LY,69
AN290/RTx2917,AN290,RTx2917,20LY,68
AN290/RTx2942,AN290,RTx2942,20LY,67
ATx2921/R01302,ATx2921,R01302,20LY,71.5
ATx2921/R05405,ATx2921,R05405,20LY,69.5
ATx2921/R12145,ATx2921,R12145,20LY,73.237374
ATx2921/RTx2914,ATx2921,RTx2914,20LY,69.5
ATx2923/R04104,ATx2923,R04104,20LY,67.5
ATx2923/R05330,ATx2923,R05330,20LY,70
ATx2923/R05425,ATx2923,R05425,20LY,68.5
ATx2923/R11158,ATx2923,R11158,20LY,69
ATx2923/R12145,ATx2923,R12145,20LY,70.5
ATx2923/RTx2917,ATx2923,RTx2917,20LY,65.5
ATx2924/R04060,ATx2924,R04060,20LY,68.5
ATx2924/R05393,ATx2924,R05393,20LY,68
ATx2924/R08224,ATx2924,R08224,20LY,68.5
ATx2924/R12145,ATx2924,R12145,20LY,70
ATx2924/RTx2920,ATx2924,RTx2920,20LY,65.5
ATx2924/RTx2940,ATx2924,RTx2940,20LY,68
ATx2926/R01302,ATx2926,R01302,20LY,68
ATx2926/R05405,ATx2926,R05405,20LY,67
ATx2926/R08297,ATx2926,R08297,20LY,68
ATx2926/R12154,ATx2926,R12154,20LY,68
ATx2926/RTx2917,ATx2926,RTx2917,20LY,65
ATx2926/RTx2944,ATx2926,RTx2944,20LY,66.5
ATx2927/RTx2936,ATx2927,RTx2936,20LY,68
ATx2930/R01302,ATx2930,R01302,20LY,67
ATx2930/R03248,ATx2930,R03248,20LY,68
ATx2930/R05425,ATx2930,R05425,20LY,65.5
ATx2930/R08303,ATx2930,R08303,20LY,63.5
ATx2930/R12148,ATx2930,R12148,20LY,68
ATx2930/RTx2920,ATx2930,RTx2920,20LY,63
ATx2930/RTx2942,ATx2930,RTx2942,20LY,63.5
ATx2931/R05405,ATx2931,R05405,20LY,64.5
ATx2931/R08297,ATx2931,R08297,20LY,66.5
ATx2931/R08306,ATx2931,R08306,20LY,66.5
ATx2931/RTx2936,ATx2931,RTx2936,20LY,66.5
ATx2931/RTx2943,ATx2931,RTx2943,20LY,67
ATx2934/R08297,ATx2934,R08297,20LY,65
ATx2934/R12157,ATx2934,R12157,20LY,65.5
ATx2934/RTx2941,ATx2934,RTx2941,20LY,65
ATx3408/R12145,ATx3408,R12145,20LY,71.5
ATx3409/R08224,ATx3409,R08224,20LY,68.5
ATx644/R08224,ATx644,R08224,20LY,68
ATx644/RTx2936,ATx644,RTx2936,20LY,68
